TransactionID,PaymentMethod,Datetime,Amount,Status,CustomerID
TR0050,Bank Transfer,2022/3/27,190.34,Finished,CID1257
TR0051,Credit Card,2022/7/25,216.27,Finished,CID1613
TR0052,Credit Card,2022/2/27,164.17,Declined,CID1751
TR0053,Credit Card,2023/5/7,57.96,Declined,CID1837
TR0054,Credit Card,2022/5/30,29.82,Finished,CID1775
TR0055,Bank Transfer,2022/4/13,182.95,Declined,CID1492
TR0056,Credit Card,2022/7/20,450.58,Finished,CID1228
TR0057,Bank Transfer,2023/3/18,85.54,Finished,CID1115
TR0058,Apple Pay,2022/1/13,137.15,Declined,CID1187
TR0059,Bank Transfer,2023/3/14,144.24,Finished,CID1427
TR0060,Credit Card,2023/10/2,16.11,Finished,CID1024
TR0061,Credit Card,2022/10/31,445.95,Declined,CID1602
TR0062,Bank Transfer,2023/1/25,70.42,Finished,CID1036
TR0063,Bank Transfer,2023/12/1,363.15,Finished,CID1401
TR0064,Apple Pay,2023/7/10,438.9,Declined,CID1374
TR0065,Apple Pay,2022/5/11,217.88,Finished,CID1774
TR0066,Apple Pay,2022/8/9,33.47,Finished,CID1812
TR0067,Apple Pay,2022/4/25,119.83,Declined,CID1817
TR0068,Apple Pay,2022/7/6,292.82,Declined,CID1895
TR0069,Apple Pay,2022/6/4,383.97,Finished,CID1069
TR0070,Bank Transfer,2022/7/10,312.94,Finished,CID1305
TR0071,Apple Pay,2023/9/11,34.81,Declined,CID1493
TR0072,Credit Card,2023/11/16,233.4,Finished,CID1368
TR0073,Apple Pay,2022/11/14,43.13,Declined,CID1531
TR0074,Bank Transfer,2022/5/25,354.56,Declined,CID1763
TR0075,Apple Pay,2022/10/28,282.37,Declined,CID1868
TR0076,Credit Card,2023/6/6,166.13,Declined,CID1346
TR0077,Apple Pay,2023/7/10,256.39,Finished,CID1338
TR0078,Bank Transfer,2022/5/29,97.01,Declined,CID1684
TR0079,Apple Pay,2023/2/15,367.56,Finished,CID1634
TR0080,Bank Transfer,2022/5/5,210.08,Declined,CID1681
TR0081,Bank Transfer,2022/5/17,112.04,Declined,CID1181
TR0082,Bank Transfer,2023/5/19,240.89,Finished,CID1338
TR0083,Bank Transfer,2022/8/4,251.79,Declined,CID1797
TR0084,Credit Card,2022/6/16,209.49,Declined,CID1665
TR0085,Bank Transfer,2023/2/9,467.37,Declined,CID1146
TR0086,Credit Card,2023/8/19,487.2,Declined,CID1799
TR0087,Bank Transfer,2022/5/3,154.24,Declined,CID1315
TR0088,Bank Transfer,2023/7/29,446.75,Declined,CID1769
TR0089,Credit Card,2023/4/7,154.98,Finished,CID1126
TR0090,Bank Transfer,2023/4/1,396.68,Declined,CID1227
TR0091,Apple Pay,2023/2/18,111.27,Declined,CID1494
TR0092,Bank Transfer,2023/9/19,19.55,Finished,CID1407
TR0093,Credit Card,2023/2/27,310.24,Finished,CID1688
TR0094,Apple Pay,2023/9/22,347.66,Finished,CID1834
TR0095,Apple Pay,2023/6/7,369.69,Finished,CID1182
TR0096,Credit Card,2023/5/31,498.61,Finished,CID1235
TR0097,Bank Transfer,2023/8/10,19.57,Declined,CID1330
TR0098,Bank Transfer,2023/4/15,273.32,Finished,CID1639
TR0099,Apple Pay,2022/11/28,397.57,Declined,CID1208
TR0100,Credit Card,2023/10/23,138.94,Declined,CID1294
TR0101,Bank Transfer,2023/9/14,392,Finished,CID1721
TR0102,Bank Transfer,2022/6/18,57.42,Declined,CID1686
TR0103,Credit Card,2023/9/23,36.21,Declined,CID1072
TR0104,Bank Transfer,2022/12/30,247.12,Finished,CID1598
TR0105,Credit Card,2023/5/3,166.16,Finished,CID1388
TR0106,Credit Card,2023/11/13,100.36,Declined,CID1254
TR0107,Apple Pay,2023/4/18,52.67,Declined,CID1762
TR0108,Bank Transfer,2023/5/20,61.25,Declined,CID1879
TR0109,Bank Transfer,2023/12/18,243.62,Finished,CID1038
TR0110,Credit Card,2022/10/19,214.07,Finished,CID1525
TR0111,Bank Transfer,2023/8/27,116.59,Finished,CID1746
TR0112,Bank Transfer,2023/11/1,226.51,Finished,CID1760
TR0113,Apple Pay,2022/2/5,449.67,Finished,CID1634
TR0114,Credit Card,2022/5/17,440.82,Finished,CID1115
TR0115,Bank Transfer,2023/12/7,423.98,Finished,CID1743
TR0116,Bank Transfer,2023/11/20,119.55,Declined,CID1173
TR0117,Bank Transfer,2022/11/20,418.99,Declined,CID1667
TR0118,Bank Transfer,2022/8/29,353.49,Declined,CID1643
TR0119,Credit Card,2022/7/22,259.68,Declined,CID1115
TR0120,Apple Pay,2023/9/18,458.31,Finished,CID1134
TR0121,Apple Pay,2022/6/30,364.89,Declined,CID1346
TR0122,Credit Card,2023/8/12,372.96,Declined,CID1584
TR0123,Credit Card,2022/1/11,399.09,Finished,CID1503
TR0124,Bank Transfer,2023/2/4,28.06,Finished,CID1486
TR0125,Credit Card,2022/9/13,337.71,Declined,CID1711
TR0126,Credit Card,2022/5/28,385.35,Declined,CID1464
TR0127,Bank Transfer,2022/8/9,179.13,Declined,CID1252
TR0128,Bank Transfer,2023/3/28,294.94,Declined,CID1103
TR0129,Bank Transfer,2023/7/4,352.49,Declined,CID1195
TR0130,Credit Card,2022/11/12,85.95,Declined,CID1822
TR0131,Bank Transfer,2023/2/6,89.23,Finished,CID1207
TR0132,Bank Transfer,2023/5/24,288.45,Declined,CID1058
TR0133,Credit Card,2022/3/5,123.44,Declined,CID1687
TR0134,Credit Card,2023/2/25,242.65,Declined,CID1786
TR0135,Bank Transfer,2022/10/25,37.63,Finished,CID1243
TR0136,Credit Card,2023/10/20,225.73,Declined,CID1097
TR0137,Apple Pay,2022/12/31,270.1,Declined,CID1062
TR0138,Apple Pay,2022/1/15,462.7,Finished,CID1680
TR0139,Apple Pay,2022/4/23,431.85,Declined,CID1136
TR0140,Credit Card,2022/3/18,395.59,Declined,CID1597
TR0141,Bank Transfer,2022/3/2,165.28,Declined,CID1414
TR0142,Bank Transfer,2023/7/19,337.47,Declined,CID1373
TR0143,Apple Pay,2022/10/19,439.05,Finished,CID1297
TR0144,Apple Pay,2023/3/21,277.77,Finished,CID1497
TR0145,Apple Pay,2022/9/11,323.97,Declined,CID1809
TR0146,Credit Card,2023/10/7,334.23,Declined,CID1621
TR0147,Bank Transfer,2022/8/13,404.88,Finished,CID1274
TR0148,Apple Pay,2022/4/14,150.92,Finished,CID1696
TR0149,Credit Card,2022/10/8,330.63,Declined,CID1586
TR0150,Apple Pay,2022/12/2,323.45,Declined,CID1275
TR0151,Bank Transfer,2022/7/13,109.38,Declined,CID1459
TR0152,Bank Transfer,2022/5/1,439.22,Finished,CID1805
TR0153,Credit Card,2023/2/24,248.8,Declined,CID1190
TR0154,Credit Card,2023/8/10,208.44,Declined,CID1555
TR0155,Bank Transfer,2023/2/15,499.52,Finished,CID1632
TR0156,Credit Card,2022/11/19,148.97,Declined,CID1629
TR0157,Bank Transfer,2022/2/4,81.5,Declined,CID1276
TR0158,Credit Card,2023/10/24,190.84,Finished,CID1581
TR0159,Credit Card,2023/1/28,155.51,Declined,CID1157
TR0160,Credit Card,2023/5/25,364.88,Finished,CID1600
TR0161,Bank Transfer,2022/7/18,348.52,Finished,CID1103
TR0162,Apple Pay,2022/1/9,85.06,Finished,CID1280
TR0163,Bank Transfer,2022/10/28,380.07,Declined,CID1715
TR0164,Apple Pay,2022/4/22,162.19,Declined,CID1199
TR0165,Credit Card,2022/3/18,348.05,Declined,CID1737
TR0166,Apple Pay,2023/3/3,371.74,Declined,CID1318
TR0167,Apple Pay,2023/5/15,191.24,Declined,CID1379
TR0168,Credit Card,2022/9/25,71.93,Declined,CID1752
TR0169,Credit Card,2023/8/31,24.73,Declined,CID1334
TR0170,Bank Transfer,2022/9/15,209.29,Finished,CID1321
TR0171,Apple Pay,2022/1/4,262.13,Declined,CID1412
TR0172,Apple Pay,2022/3/14,235.17,Finished,CID1049
TR0173,Credit Card,2022/5/7,140.88,Finished,CID1049
TR0174,Bank Transfer,2022/3/5,52.84,Declined,CID1791
TR0175,Bank Transfer,2023/5/11,164.61,Finished,CID1238
TR0176,Credit Card,2022/12/29,188,Declined,CID1083
TR0177,Bank Transfer,2023/11/20,417.7,Finished,CID1866
TR0178,Apple Pay,2022/3/29,332.26,Declined,CID1468
TR0179,Bank Transfer,2023/11/16,21.05,Declined,CID1422
TR0180,Bank Transfer,2022/9/15,330.44,Declined,CID1289
TR0181,Credit Card,2023/5/14,389.47,Finished,CID1811
TR0182,Bank Transfer,2022/11/18,247.92,Finished,CID1717
TR0183,Apple Pay,2023/9/11,179.2,Finished,CID1457
TR0184,Credit Card,2023/6/10,176.69,Declined,CID1163
TR0185,Credit Card,2023/5/29,272.96,Declined,CID1216
TR0186,Bank Transfer,2022/8/8,313.58,Finished,CID1166
TR0187,Credit Card,2023/9/11,156.13,Declined,CID1498
TR0188,Credit Card,2023/1/11,72.35,Finished,CID1627
TR0189,Apple Pay,2023/9/24,404.48,Declined,CID1660
TR0190,Credit Card,2022/9/10,262.66,Finished,CID1521
TR0191,Apple Pay,2023/10/13,70.53,Finished,CID1803
TR0192,Bank Transfer,2022/3/28,344.69,Declined,CID1594
TR0193,Apple Pay,2022/4/24,327.5,Finished,CID1391
TR0194,Apple Pay,2022/11/20,168.68,Declined,CID1294
TR0195,Apple Pay,2022/12/11,137.29,Declined,CID1170
TR0196,Bank Transfer,2022/5/17,145.25,Declined,CID1886
TR0197,Credit Card,2023/1/6,70.97,Declined,CID1258
TR0198,Bank Transfer,2023/10/31,364.01,Finished,CID1325
TR0199,Bank Transfer,2022/5/17,56.04,Declined,CID1249
TR0200,Bank Transfer,2023/6/16,418.69,Declined,CID1435
TR0201,Bank Transfer,2022/11/13,392.33,Finished,CID1157
TR0202,Apple Pay,2023/6/13,316.75,Finished,CID1064
TR0203,Apple Pay,2022/4/9,148.95,Declined,CID1467
TR0204,Bank Transfer,2022/2/20,404.12,Finished,CID1586
TR0205,Credit Card,2022/7/25,464.85,Finished,CID1287
TR0206,Bank Transfer,2022/1/11,251.32,Declined,CID1401
TR0207,Credit Card,2022/5/23,306.01,Declined,CID1416
TR0208,Bank Transfer,2023/10/11,224.14,Declined,CID1880
TR0209,Bank Transfer,2022/1/18,394.2,Declined,CID1506
TR0210,Apple Pay,2022/8/31,105.99,Finished,CID1024
TR0211,Bank Transfer,2022/3/23,228.19,Declined,CID1774
TR0212,Bank Transfer,2023/10/7,417.47,Finished,CID1204
TR0213,Credit Card,2022/1/1,393.16,Declined,CID1501
TR0214,Apple Pay,2022/12/9,74.23,Finished,CID1887
TR0215,Apple Pay,2022/11/20,404.48,Finished,CID1687
TR0216,Credit Card,2022/9/11,94.76,Declined,CID1041
TR0217,Bank Transfer,2022/4/5,410.04,Declined,CID1580
TR0218,Apple Pay,2022/3/10,429.96,Declined,CID1885
TR0219,Apple Pay,2023/2/26,37.7,Declined,CID1368
TR0220,Apple Pay,2023/3/19,82.19,Finished,CID1220
TR0221,Bank Transfer,2023/5/11,213.02,Declined,CID1410
TR0222,Bank Transfer,2022/11/20,414.63,Finished,CID1826
TR0223,Bank Transfer,2022/10/26,266.8,Declined,CID1052
TR0224,Bank Transfer,2022/11/30,36.8,Declined,CID1045
TR0225,Apple Pay,2022/10/4,489.32,Finished,CID1570
TR0226,Credit Card,2022/1/15,386.67,Declined,CID1000
TR0227,Apple Pay,2023/6/19,207.04,Declined,CID1007
TR0228,Credit Card,2023/1/18,455.38,Finished,CID1821
TR0229,Bank Transfer,2023/7/23,161.03,Finished,CID1008
TR0230,Credit Card,2022/10/17,137.28,Finished,CID1344
TR0231,Apple Pay,2022/8/7,236.23,Finished,CID1484
TR0232,Bank Transfer,2023/5/24,440.63,Declined,CID1710
TR0233,Bank Transfer,2023/1/23,229.52,Declined,CID1822
TR0234,Bank Transfer,2023/5/12,170.5,Declined,CID1858
TR0235,Credit Card,2023/4/11,187.33,Finished,CID1671
TR0236,Bank Transfer,2023/1/26,288.89,Declined,CID1596
TR0237,Apple Pay,2023/2/15,188.59,Declined,CID1332
TR0238,Credit Card,2023/10/13,435.74,Declined,CID1675
TR0239,Credit Card,2023/12/20,49.85,Declined,CID1006
TR0240,Credit Card,2022/11/13,392.76,Declined,CID1447
TR0241,Apple Pay,2022/5/25,31.64,Finished,CID1163
TR0242,Credit Card,2023/4/5,331.22,Finished,CID1379
TR0243,Apple Pay,2023/1/19,227.36,Declined,CID1677
TR0244,Bank Transfer,2022/4/2,33.37,Finished,CID1087
TR0245,Credit Card,2023/8/7,113.04,Declined,CID1784
TR0246,Credit Card,2023/7/12,344.53,Declined,CID1297
TR0247,Credit Card,2022/5/6,299.76,Declined,CID1421
TR0248,Bank Transfer,2022/5/28,81.56,Finished,CID1850
TR0249,Bank Transfer,2023/3/7,259.85,Declined,CID1052
TR0250,Apple Pay,2023/9/16,207.21,Declined,CID1306
TR0251,Bank Transfer,2022/3/5,283.93,Finished,CID1652
TR0252,Bank Transfer,2022/2/25,398.73,Declined,CID1317
TR0253,Credit Card,2023/1/30,249.09,Finished,CID1213
TR0254,Apple Pay,2023/10/18,171.1,Declined,CID1449
TR0255,Apple Pay,2022/12/10,89.59,Declined,CID1244
TR0256,Apple Pay,2023/4/24,235.92,Declined,CID1500
TR0257,Apple Pay,2022/12/3,366.77,Finished,CID1712
TR0258,Bank Transfer,2022/5/6,152.98,Declined,CID1247
TR0259,Bank Transfer,2022/12/19,224.01,Finished,CID1711
TR0260,Apple Pay,2022/12/19,473.73,Finished,CID1127
TR0261,Bank Transfer,2023/6/17,358.77,Finished,CID1144
TR0262,Apple Pay,2022/3/10,74.38,Declined,CID1281
TR0263,Bank Transfer,2022/8/20,216.55,Finished,CID1629
TR0264,Apple Pay,2022/1/28,291.87,Declined,CID1607
TR0265,Credit Card,2022/6/23,20.88,Declined,CID1611
TR0266,Bank Transfer,2022/5/16,426.3,Finished,CID1027
TR0267,Apple Pay,2023/4/25,231.29,Finished,CID1215
TR0268,Apple Pay,2023/5/14,166.89,Declined,CID1314
TR0269,Apple Pay,2022/7/12,275.41,Declined,CID1796
TR0270,Credit Card,2023/12/23,217.4,Finished,CID1438
TR0271,Bank Transfer,2023/3/25,67.89,Finished,CID1438
TR0272,Credit Card,2022/10/6,133.8,Finished,CID1207
TR0273,Bank Transfer,2022/11/18,485.7,Finished,CID1827
TR0274,Apple Pay,2023/11/16,479.17,Declined,CID1189
TR0275,Credit Card,2023/1/10,208.59,Finished,CID1467
TR0276,Credit Card,2022/2/24,132.33,Finished,CID1475
TR0277,Apple Pay,2023/4/9,78.61,Finished,CID1102
TR0278,Apple Pay,2022/12/7,353.74,Declined,CID1211
TR0279,Apple Pay,2022/10/2,388.27,Finished,CID1287
TR0280,Bank Transfer,2022/5/9,164.57,Finished,CID1659
TR0281,Apple Pay,2023/5/5,41.05,Declined,CID1193
TR0282,Bank Transfer,2022/2/7,478.27,Declined,CID1114
TR0283,Bank Transfer,2023/7/22,477.58,Finished,CID1036
TR0284,Apple Pay,2023/9/11,487.13,Finished,CID1586
TR0285,Bank Transfer,2023/10/21,327.2,Finished,CID1083
TR0286,Apple Pay,2022/1/9,165.62,Finished,CID1378
TR0287,Apple Pay,2023/6/26,400.08,Finished,CID1583
TR0288,Bank Transfer,2023/7/5,115.37,Declined,CID1762
TR0289,Credit Card,2022/9/14,437.88,Declined,CID1266
TR0290,Bank Transfer,2022/2/1,249.65,Declined,CID1054
TR0291,Credit Card,2023/2/19,32.4,Declined,CID1479
TR0292,Credit Card,2023/6/4,395.11,Declined,CID1753
TR0293,Credit Card,2022/2/28,428.58,Finished,CID1115
TR0294,Apple Pay,2023/5/31,285.63,Finished,CID1636
TR0295,Credit Card,2023/6/30,227.7,Finished,CID1055
TR0296,Credit Card,2023/3/18,26.3,Finished,CID1676
TR0297,Credit Card,2022/3/29,230.71,Declined,CID1499
TR0298,Apple Pay,2023/5/14,222.98,Declined,CID1716
TR0299,Credit Card,2023/11/6,140.48,Declined,CID1714
TR0300,Credit Card,2023/5/21,417.87,Declined,CID1732
TR0301,Bank Transfer,2022/4/25,332.1,Declined,CID1806
TR0302,Bank Transfer,2022/9/23,172.91,Finished,CID1348
TR0303,Credit Card,2022/7/20,140.97,Finished,CID1171
TR0304,Bank Transfer,2023/3/15,330.97,Declined,CID1086
TR0305,Apple Pay,2022/4/29,184.75,Declined,CID1042
TR0306,Credit Card,2023/5/22,284.3,Finished,CID1312
TR0307,Apple Pay,2023/4/11,155.32,Declined,CID1220
TR0308,Bank Transfer,2022/11/13,483.03,Finished,CID1080
TR0309,Apple Pay,2022/9/15,36.24,Finished,CID1293
TR0310,Bank Transfer,2023/7/5,309.67,Declined,CID1065
TR0311,Apple Pay,2023/8/13,106,Finished,CID1064
TR0312,Credit Card,2023/6/28,411.38,Finished,CID1077
TR0313,Apple Pay,2022/1/15,252.75,Finished,CID1688
TR0314,Bank Transfer,2022/8/28,48.33,Declined,CID1393
TR0315,Bank Transfer,2022/12/18,120.62,Declined,CID1204
TR0316,Credit Card,2022/9/4,411.72,Declined,CID1787
TR0317,Credit Card,2022/6/25,442.61,Declined,CID1855
TR0318,Apple Pay,2023/10/18,482.43,Declined,CID1851
TR0319,Apple Pay,2022/9/7,149.19,Declined,CID1317
TR0320,Apple Pay,2022/5/31,52.75,Declined,CID1255
TR0321,Apple Pay,2023/7/20,234.43,Declined,CID1386
TR0322,Bank Transfer,2023/4/7,343.97,Declined,CID1113
TR0323,Credit Card,2022/1/14,221.29,Declined,CID1432
TR0324,Bank Transfer,2023/3/12,432.19,Declined,CID1702
TR0325,Credit Card,2022/7/22,89.89,Finished,CID1458
TR0326,Bank Transfer,2023/9/10,300.42,Declined,CID1871
TR0327,Apple Pay,2022/8/8,176.9,Declined,CID1253
TR0328,Apple Pay,2023/3/11,412.99,Declined,CID1017
TR0329,Credit Card,2023/12/23,233.11,Finished,CID1422
TR0330,Apple Pay,2022/12/23,171.47,Declined,CID1309
TR0331,Apple Pay,2023/2/20,156.61,Finished,CID1618
TR0332,Bank Transfer,2023/6/23,471.98,Declined,CID1580
TR0333,Credit Card,2022/5/30,12.71,Finished,CID1595
TR0334,Apple Pay,2023/5/1,361.16,Declined,CID1450
TR0335,Credit Card,2023/2/1,159.56,Finished,CID1278
TR0336,Apple Pay,2022/4/15,169.49,Finished,CID1567
TR0337,Credit Card,2023/10/28,263.79,Declined,CID1509
TR0338,Credit Card,2022/3/28,176.66,Declined,CID1160
TR0339,Bank Transfer,2023/4/24,413.8,Declined,CID1344
TR0340,Credit Card,2022/5/7,85.41,Declined,CID1501
TR0341,Credit Card,2022/3/14,210.82,Declined,CID1113
TR0342,Credit Card,2022/4/27,415.19,Finished,CID1647
TR0343,Apple Pay,2022/8/4,449.61,Finished,CID1743
TR0344,Credit Card,2022/10/22,146.73,Declined,CID1617
TR0345,Apple Pay,2023/5/21,448.07,Finished,CID1549
TR0346,Apple Pay,2023/4/6,16.12,Finished,CID1264
TR0347,Apple Pay,2022/8/24,50.14,Finished,CID1113
TR0348,Bank Transfer,2022/9/1,398.03,Declined,CID1074
TR0349,Apple Pay,2023/11/13,304.94,Finished,CID1392
TR0350,Credit Card,2022/10/25,487.95,Finished,CID1233
TR0351,Bank Transfer,2022/9/30,480.48,Finished,CID1873
TR0352,Credit Card,2022/3/10,294.21,Declined,CID1602
TR0353,Bank Transfer,2022/4/20,346.2,Finished,CID1759
TR0354,Bank Transfer,2023/7/27,237.67,Finished,CID1868
TR0355,Apple Pay,2022/10/13,283.32,Declined,CID1661
TR0356,Bank Transfer,2022/8/10,17.72,Finished,CID1151
TR0357,Bank Transfer,2022/6/22,431.94,Declined,CID1711
TR0358,Credit Card,2022/7/17,421.43,Finished,CID1612
TR0359,Credit Card,2023/1/22,330.57,Finished,CID1846
TR0360,Apple Pay,2023/2/18,458.76,Declined,CID1495
TR0361,Bank Transfer,2022/1/23,277.62,Finished,CID1679
TR0362,Apple Pay,2022/4/2,453.52,Declined,CID1678
TR0363,Credit Card,2023/12/26,465.22,Finished,CID1874
TR0364,Bank Transfer,2023/7/24,231.29,Finished,CID1002
TR0365,Bank Transfer,2023/1/3,442.48,Declined,CID1490
TR0366,Credit Card,2022/1/16,40.54,Finished,CID1097
TR0367,Bank Transfer,2023/10/5,26.02,Declined,CID1025
TR0368,Bank Transfer,2022/8/18,342.78,Declined,CID1713
TR0369,Apple Pay,2023/7/18,52.13,Finished,CID1322
TR0370,Apple Pay,2023/8/2,421.39,Finished,CID1414
TR0371,Bank Transfer,2022/11/22,285.91,Finished,CID1343
TR0372,Bank Transfer,2023/5/19,409.15,Finished,CID1479
TR0373,Credit Card,2023/11/23,54.4,Declined,CID1124
TR0374,Bank Transfer,2022/9/29,292.8,Finished,CID1712
TR0375,Bank Transfer,2023/11/20,431.03,Declined,CID1402
TR0376,Apple Pay,2022/5/23,301.49,Declined,CID1364
TR0377,Apple Pay,2022/3/15,164.61,Declined,CID1526
TR0378,Apple Pay,2022/6/27,376.56,Declined,CID1865
TR0379,Bank Transfer,2023/1/17,455.46,Finished,CID1723
TR0380,Credit Card,2023/9/11,335.13,Finished,CID1690
TR0381,Credit Card,2023/6/4,297.59,Finished,CID1140
TR0382,Bank Transfer,2022/7/21,236.45,Finished,CID1815
TR0383,Credit Card,2022/3/11,275.57,Finished,CID1620
TR0384,Bank Transfer,2022/4/7,285.31,Finished,CID1311
TR0385,Credit Card,2023/2/11,252.45,Finished,CID1265
TR0386,Bank Transfer,2023/9/23,263.46,Declined,CID1430
TR0387,Apple Pay,2023/11/27,422.18,Finished,CID1811
TR0388,Credit Card,2023/9/8,411.85,Declined,CID1691
TR0389,Bank Transfer,2022/8/30,332.93,Declined,CID1242
TR0390,Apple Pay,2023/7/28,16.28,Declined,CID1327
TR0391,Credit Card,2022/1/10,488.82,Finished,CID1857
TR0392,Credit Card,2022/7/12,289.09,Finished,CID1583
TR0393,Credit Card,2023/10/25,46.77,Finished,CID1785
TR0394,Bank Transfer,2023/8/5,299.16,Finished,CID1336
TR0395,Bank Transfer,2022/2/16,139.27,Declined,CID1170
TR0396,Bank Transfer,2022/11/14,222.89,Declined,CID1447
TR0397,Credit Card,2023/3/9,496.79,Declined,CID1291
TR0398,Credit Card,2023/2/24,470.48,Finished,CID1392
TR0399,Credit Card,2022/12/26,469.8,Finished,CID1823
TR0400,Apple Pay,2023/7/5,496.24,Declined,CID1182
TR0401,Credit Card,2023/1/8,286.55,Finished,CID1892
TR0402,Apple Pay,2022/2/24,345.99,Finished,CID1068
TR0403,Credit Card,2023/5/28,352.06,Finished,CID1479
TR0404,Credit Card,2023/12/27,191.18,Finished,CID1894
TR0405,Apple Pay,2022/10/21,84.65,Declined,CID1585
TR0406,Apple Pay,2023/5/12,78.45,Declined,CID1238
TR0407,Apple Pay,2023/6/5,404.81,Finished,CID1576
TR0408,Apple Pay,2022/2/7,142.64,Declined,CID1579
TR0409,Credit Card,2022/10/9,94.43,Finished,CID1403
TR0410,Credit Card,2023/10/9,169.42,Declined,CID1120
TR0411,Bank Transfer,2023/7/29,28.52,Finished,CID1362
TR0412,Bank Transfer,2023/7/10,453.19,Finished,CID1874
TR0413,Credit Card,2022/5/25,44.86,Declined,CID1749
TR0414,Apple Pay,2022/7/30,232.72,Finished,CID1206
TR0415,Apple Pay,2022/8/29,269.17,Declined,CID1161
TR0416,Bank Transfer,2023/7/29,426.14,Declined,CID1162
TR0417,Apple Pay,2023/3/18,196.6,Finished,CID1117
TR0418,Apple Pay,2023/11/29,232.39,Declined,CID1562
TR0419,Apple Pay,2023/10/21,442.98,Finished,CID1018
TR0420,Bank Transfer,2023/10/3,62.81,Declined,CID1282
TR0421,Bank Transfer,2023/9/5,376.84,Finished,CID1128
TR0422,Apple Pay,2023/5/31,479.71,Finished,CID1219
TR0423,Credit Card,2022/3/10,146.79,Finished,CID1104
TR0424,Apple Pay,2022/1/14,21.2,Declined,CID1688
TR0425,Bank Transfer,2023/10/22,36.84,Finished,CID1263
TR0426,Apple Pay,2022/4/17,234.56,Finished,CID1747
TR0427,Bank Transfer,2022/5/19,495.8,Finished,CID1337
TR0428,Bank Transfer,2022/12/17,408.61,Declined,CID1412
TR0429,Credit Card,2022/1/21,253.88,Declined,CID1169
TR0430,Bank Transfer,2022/8/7,478.61,Declined,CID1483
TR0431,Bank Transfer,2023/5/18,345.36,Declined,CID1376
TR0432,Credit Card,2023/2/28,215.72,Finished,CID1315
TR0433,Apple Pay,2022/4/13,40.46,Finished,CID1244
TR0434,Apple Pay,2022/2/24,20.49,Declined,CID1502
