InventoryID,MaxCapacity,UnitCost,CurrInventory
INV1328,329,301.39,226
INV1329,321,330.14,156
INV1330,221,407.73,106
INV1331,300,151.28,397
INV1332,389,111.65,318
INV1333,300,458.87,104
INV1334,458,285.27,228
INV1335,415,278.93,424
INV1336,260,91.76,327
INV1337,318,143.55,444
INV1338,163,171.89,98
INV1339,185,485.14,367
INV1340,393,167.6,192
INV1341,171,372.64,215
INV1342,442,112.39,10
INV1343,407,344.27,194
INV1344,149,267.82,141
INV1345,191,223.84,478
INV1346,275,40.34,401
INV1347,262,447.24,213
INV1348,366,18.57,45
INV1349,256,38.92,50
INV1350,337,17.97,444
INV1351,289,376.48,274
INV1352,160,354.46,107
INV1353,417,161.8,416
INV1354,111,108.5,335
INV1355,404,431.26,204
INV1356,300,246.74,57
INV1357,182,350.5,122
INV1358,363,334.54,94
INV1359,245,182.35,92
INV1360,143,165.02,81
INV1361,103,167.4,307
INV1362,408,307.77,198
INV1363,497,300.99,13
INV1364,140,18.53,91
INV1365,151,110.72,183
INV1366,466,79.43,423
INV1367,126,322.58,283
INV1368,292,367.66,496
INV1369,276,165.35,54
INV1370,425,307.65,317
INV1371,157,315.41,298
INV1372,152,264.15,339
INV1373,255,465.31,75
INV1374,299,382.9,254
INV1375,239,90.1,226
INV1376,183,252.46,408
INV1377,164,182.09,356
INV1378,243,211.61,289
INV1379,421,62.47,212
INV1380,496,51.29,161
INV1381,274,79.6,293
INV1382,235,480.72,81
INV1383,274,195.96,371
INV1384,442,38.12,467
INV1385,444,182.08,487
INV1386,364,321.19,470
INV1387,319,485.44,293
INV1388,157,436.7,242
INV1389,168,184.1,149
INV1390,182,205.54,157
INV1391,455,368.98,48
INV1392,417,57.12,181
INV1393,194,31.61,323
INV1394,282,125.79,269
INV1395,379,145.48,444
INV1396,206,217.38,337
INV1397,326,281.39,104
INV1398,270,63.64,82
INV1399,345,154.96,136
INV1400,349,303.27,309
INV1401,106,385.17,38
INV1402,262,418.61,368
INV1403,416,71.21,112
INV1404,411,280.54,435
INV1405,203,121.42,176
INV1406,247,145.93,121
INV1407,106,132.06,349
INV1408,461,216.28,52
INV1409,389,482.89,482
INV1410,237,74.57,479
INV1411,446,398.96,240
INV1412,213,446.12,370
INV1413,336,312.87,89
INV1414,107,79.19,144
INV1415,167,73.73,42
INV1416,165,165.54,127
INV1417,373,92.91,119
INV1418,479,441.52,45
INV1419,351,429.51,487
INV1420,432,148.84,326
INV1421,369,174.7,93
INV1422,426,71.85,310
INV1423,152,337.42,23
INV1424,405,238.97,464
INV1425,188,251.68,395
INV1426,353,405.95,8
INV1427,234,158.46,282
INV1428,147,28.03,276
INV1429,251,64.03,258
INV1430,382,177.15,352
INV1431,462,182.47,313
INV1432,374,311.29,267
INV1433,327,460.9,100
INV1434,219,149.21,48
INV1435,222,391.21,291
INV1436,133,427.24,394
INV1437,495,156.21,455
INV1438,446,369.56,126
INV1439,326,276.14,150
INV1440,299,41.56,403
INV1441,302,351.77,412
INV1442,105,381.8,63
INV1443,480,78.12,39
INV1444,435,178.68,137
INV1445,221,252.18,260
INV1446,173,305.69,187
INV1447,166,317.74,29
INV1448,428,494.62,102
INV1449,362,156.68,122
INV1450,355,38.2,397
INV1451,255,220.27,186
INV1452,307,230.85,122
INV1453,112,104.45,39
INV1454,374,349.63,355
INV1455,406,420.11,202
INV1456,184,67.76,242
INV1457,461,45.04,303
INV1458,167,482.35,32
INV1459,274,203.83,23
INV1460,480,475.8,176
INV1461,339,162.2,371
INV1462,222,444.35,326
INV1463,378,411.71,435
INV1464,270,420.38,415
INV1465,483,437.29,70
INV1466,454,487.47,319
INV1467,350,312.72,348
INV1468,492,424.1,486
INV1469,174,359.94,390
INV1470,341,23.06,166
INV1471,443,209.1,375
INV1472,265,325.52,208
INV1473,490,428.6,123
INV1474,485,79.93,406
INV1475,298,272.82,428
INV1476,207,229.01,50
INV1477,155,115.92,155
INV1478,363,196.51,221
INV1479,417,136.13,17
INV1480,217,206.08,277
INV1481,225,33.04,490
INV1482,326,416.87,356
INV1483,467,480.65,481
INV1484,381,257.79,201
INV1485,480,366.72,172
INV1486,116,323.37,23
INV1487,471,430.12,289
INV1488,339,305.31,463
INV1489,305,209.23,381
INV1490,304,413.42,57
INV1491,429,300.01,358
INV1492,382,224.53,94
INV1493,409,489.26,80
INV1494,183,133.82,479
INV1495,415,20.22,162
INV1496,359,190.32,39
INV1497,180,250.96,365
INV1498,318,368.45,465
INV1499,200,21.8,466
INV1500,149,428.75,18
INV1501,176,286.84,444
INV1502,478,106.18,168
INV1503,315,210.02,493
INV1504,441,242.64,46
INV1505,181,269.54,101
INV1506,371,411.11,355
INV1507,211,147.4,66
INV1508,238,53.22,361
INV1509,393,81.88,133
INV1510,456,103.71,93
INV1511,198,340.39,306
INV1512,222,243.94,398
INV1513,301,365.45,220
INV1514,142,495.66,287
INV1515,494,209.89,31
INV1516,499,196.76,222
INV1517,393,87.72,163
INV1518,157,251.21,24
INV1519,428,270.9,199
INV1520,263,372.22,383
INV1521,228,321.62,168
INV1522,228,398.38,151
INV1523,238,41.02,352
INV1524,210,140.83,235
INV1525,340,222.16,346
INV1526,339,288.02,126
INV1527,225,226.36,278
INV1528,230,364.11,446
INV1529,316,246.19,360
INV1530,429,23.96,134
INV1531,385,186.98,61
INV1532,214,272.78,369
INV1533,151,204.75,333
INV1534,106,119.5,169
INV1535,162,24.2,127
INV1536,187,145.26,99
INV1537,274,104.66,51
INV1538,412,125.41,49
INV1539,398,94.33,193
INV1540,439,493.22,457
INV1541,376,229.45,133
INV1542,312,474.27,85
INV1543,223,99.29,138
INV1544,473,174.76,143
INV1545,316,295.1,35
INV1546,238,315.48,352
INV1547,434,441.28,180
INV1548,273,172.61,353
INV1549,365,162.7,60
INV1550,445,17.8,283
INV1551,300,259.59,146
INV1552,326,76.54,317
INV1553,187,442.39,22
INV1554,182,199.32,141
INV1555,291,469.75,271
INV1556,432,110.87,440
INV1557,382,201.84,429
INV1558,374,410.11,455
INV1559,208,359.1,194
INV1560,250,55.39,275
INV1561,419,45.32,359
INV1562,209,17.18,54
INV1563,427,163.74,282
INV1564,236,33.76,15
INV1565,156,277.4,55
INV1566,170,142.34,102
INV1567,418,383.86,131
INV1568,102,16.83,482
INV1569,219,74.74,255
INV1570,203,160.27,232
INV1571,241,61.56,472
INV1572,355,53.81,204
INV1573,219,361.58,150
INV1574,414,299.8,133
INV1575,210,277.08,24
INV1576,314,79.63,438
INV1577,321,422.26,372
INV1578,323,442.69,469
INV1579,382,236.81,342
INV1580,361,346.75,470
INV1581,123,445.57,53
INV1582,377,456.88,60
INV1583,490,361.24,52
INV1584,315,403.65,151
INV1585,235,49.24,351
INV1586,429,137.8,252
INV1587,424,81.71,200
INV1588,233,375.66,496
INV1589,392,97.43,94
INV1590,322,93.75,436
INV1591,215,252.72,500
INV1592,148,278.63,350
INV1593,485,476.47,396
INV1594,358,119.47,361
INV1595,476,206.31,458
INV1596,238,70.36,483
INV1597,484,419.28,282
INV1598,378,239.6,370
INV1599,168,417.55,184
INV1600,388,27.75,130
INV1601,435,351.93,370
INV1602,432,56.69,335
INV1603,477,353.57,400
INV1604,420,56.4,109
INV1605,373,108.84,490
INV1606,394,274.76,268
INV1607,268,148.06,280
INV1608,380,449.71,36
INV1609,118,208.05,473
INV1610,417,408.77,272
INV1611,484,195.46,497
INV1612,193,416.57,142
INV1613,291,247.56,89
INV1614,109,156.59,500
INV1615,373,48.04,86
INV1616,151,166.69,313
INV1617,408,112.39,321
INV1618,285,192.97,32
INV1619,320,498.1,499
INV1620,350,62.64,151
INV1621,309,281.69,38
INV1622,488,11.59,173
INV1623,196,420.5,255
INV1624,403,149.98,394
INV1625,333,185.45,172
INV1626,408,481.75,80
INV1627,472,200.73,183
INV1628,449,371.87,328
INV1629,160,95.7,264
INV1630,154,397.65,55
INV1631,455,206.32,212
INV1632,469,277.51,429
INV1633,175,213.5,337
INV1634,252,153.7,305
INV1635,409,165.78,161
INV1636,495,390.89,174
INV1637,359,393.33,341
INV1638,137,476.79,175
INV1639,375,348.83,332
INV1640,231,438.09,411
INV1641,338,315.11,333
INV1642,161,424.95,82
INV1643,396,210.76,293
INV1644,354,41.03,479
INV1645,460,370.66,279
INV1646,238,303.14,414
INV1647,445,81,16
INV1648,243,287.51,99
INV1649,272,81.28,323
INV1650,312,142.2,454
INV1651,182,480.67,148
INV1652,217,469.41,358
INV1653,119,317.18,10
INV1654,212,240.79,492
INV1655,102,114.99,136
INV1656,410,276.97,211
INV1657,195,54.68,78
INV1658,498,51.83,268
INV1659,125,238,177
INV1660,383,464.72,43
INV1661,288,12.49,240
INV1662,481,133.19,340
INV1663,470,107.64,160
INV1664,368,359.9,375
INV1665,161,316.49,219
INV1666,252,12.6,47
INV1667,391,112.19,108
INV1668,267,176.98,122
INV1669,411,298.25,243
INV1670,441,417.55,419
INV1671,244,98.05,375
INV1672,491,389.76,479
INV1673,210,337.03,34
INV1674,405,339.07,24
INV1675,333,130.37,345
INV1676,126,269.59,36
INV1677,226,75.24,346
INV1678,188,457.9,446
INV1679,243,65.22,423
INV1680,190,472.79,17
INV1681,465,430.6,402
INV1682,483,186.76,337
INV1683,216,355.85,150
INV1684,264,219.56,495
INV1685,169,467.02,386
INV1686,298,58.72,160
INV1687,388,130.53,461
INV1688,304,388.53,377
INV1689,273,88.31,226
INV1690,206,352.75,178
INV1691,272,291.43,78
INV1692,231,224.16,119
INV1693,495,460.96,106
INV1694,435,381.54,310
INV1695,240,278.28,471
INV1696,301,18.16,162
INV1697,201,398.78,253
INV1698,416,479.07,235
INV1699,109,407.9,148
INV1700,108,473.71,347
INV1701,250,464.6,125
INV1702,107,396.1,500
INV1703,185,323.12,363
INV1704,240,264.81,462
INV1705,448,496.9,185
INV1706,348,345.58,76
INV1707,196,241.04,135
INV1708,260,263.81,80
INV1709,309,490.02,353
INV1710,419,214.49,303
INV1711,170,324.01,81
INV1712,361,327.91,32
INV1713,385,140.63,374
INV1714,199,12.24,446
INV1715,471,182.89,140
INV1716,316,281.82,365
INV1717,347,437.93,350
INV1718,448,63.04,10
INV1719,409,39.19,36
INV1720,280,26.14,415
INV1721,302,314.97,382
INV1722,496,453.73,436
INV1723,474,296.34,35
INV1724,402,36.61,358
INV1725,444,232.66,121
INV1726,343,383.09,412
INV1727,232,122.57,450
INV1728,256,23.61,492
INV1729,480,131.91,360
INV1730,335,203.89,254
INV1731,122,324.58,156
INV1732,149,311.39,13
INV1733,409,124.91,266
INV1734,300,403.62,213
INV1735,284,393.75,349
INV1736,336,296.2,337
INV1737,376,189.76,3
INV1738,354,236.83,177
INV1739,327,240,103
INV1740,127,457.91,267
INV1741,236,430.51,195
INV1742,411,186.65,174
INV1743,132,45.82,280
INV1744,351,68.79,99
INV1745,461,484.96,295
INV1746,320,199.51,142
INV1747,377,443.53,478
INV1748,311,23.11,361
INV1749,265,54.05,3
INV1750,417,481.75,415
INV1751,454,183.85,434
INV1752,423,102.94,317
INV1753,427,177.57,399
INV1754,286,326.79,45
INV1755,101,495.3,166
INV1756,378,144.03,4
INV1757,328,216.12,209
INV1758,487,99.6,428
INV1759,228,328.57,322
INV1760,473,321.01,38
INV1761,382,263.05,342
INV1762,205,220.02,370
INV1763,485,215.75,178
INV1764,160,400.45,162
INV1765,164,497.28,250
INV1766,412,484.84,6
INV1767,400,117.58,463
INV1768,104,310.65,439
INV1769,248,284.1,411
INV1770,291,140.51,196
INV1771,221,452.67,22
INV1772,200,446.02,304
INV1773,439,429.96,232
INV1774,353,435.45,250
INV1775,268,315.86,318
INV1776,114,181.89,176
INV1777,257,396.31,476
INV1778,330,342.76,96
INV1779,463,423.77,130
INV1780,136,160.66,296
INV1781,319,382.51,359
INV1782,274,450.3,439
INV1783,409,152.58,344
INV1784,165,254.16,439
INV1785,439,202,10
INV1786,496,235.21,439
INV1787,343,437.14,424
INV1788,247,65.34,222
INV1789,496,346.44,201
INV1790,207,380.02,0
INV1791,102,397.54,296
INV1792,329,234.4,263
INV1793,178,406.72,130
INV1794,355,162.56,43
INV1795,370,446.64,147
INV1796,357,359.09,478
INV1797,493,200.2,135
INV1798,217,403.06,480
INV1799,273,240.23,26
INV1800,149,313.85,389
INV1801,415,437.28,215
INV1802,267,26.49,235
INV1803,132,200.65,18
INV1804,446,48.38,149
INV1805,207,344.77,111
INV1806,102,269.87,333
INV1807,148,468.14,270
INV1808,483,260.07,181
INV1809,476,160.73,320
INV1810,228,415.13,297
INV1811,175,37.23,319
INV1812,441,84.08,282
INV1813,197,390.99,77
INV1814,217,387.7,186
INV1815,208,388.31,62
INV1816,127,217.03,131
INV1817,372,201.08,399
INV1818,186,236.88,449
INV1819,343,351.37,422
INV1820,410,201.14,378
INV1821,172,462.86,293
INV1822,284,60.7,402
INV1823,454,413.4,241
INV1824,182,150.43,361
INV1825,424,458.42,493
INV1826,224,264.52,204
INV1827,198,162.52,359
INV1828,456,169.1,378
INV1829,440,417.78,45
INV1830,440,489.01,67
INV1831,476,465.41,255
INV1832,250,75.93,339
INV1833,448,206.69,162
INV1834,393,259.18,479
INV1835,277,436.99,213
INV1836,459,308.69,290
INV1837,127,101.75,430
INV1838,346,331.18,322
INV1839,186,441.57,375
INV1840,138,12.08,392
INV1841,354,76.46,110
INV1842,345,398.39,126
INV1843,284,225.9,486
INV1844,453,494.88,483
INV1845,181,301.17,365
INV1846,150,282.33,471
INV1847,216,33.39,275
INV1848,119,92.86,372
INV1849,219,492.99,275
INV1850,379,10.08,62
INV1851,436,453.91,364
INV1852,328,376.45,306
INV1853,181,280.66,291
INV1854,475,202.62,429
INV1855,113,340.45,401
INV1856,369,41.48,196
INV1857,297,111.46,490
INV1858,383,470.76,253
INV1859,224,80,481
INV1860,287,331.7,215
INV1861,121,332.77,414
INV1862,206,443.58,84
INV1863,190,50.56,331
INV1864,164,244.48,101
INV1865,245,78.1,247
INV1866,472,487.68,10
INV1867,236,491.99,289
INV1868,405,137.98,358
INV1869,412,218.68,267
INV1870,146,122.75,292
INV1871,374,213.74,109
INV1872,223,47.55,386
INV1873,341,227.51,116
INV1874,326,107.04,132
INV1875,215,68.4,319
INV1876,438,181.88,185
INV1877,271,370.71,458
INV1878,347,308.38,234
INV1879,392,52.9,79
INV1880,208,299.57,38
INV1881,291,231.91,208
INV1882,429,34.75,333
INV1883,202,317.02,298
INV1884,402,395.74,256
INV1885,311,198.1,244
INV1886,230,458.69,278
INV1887,321,199.58,310
INV1888,271,165.46,140
INV1889,109,58.94,107
INV1890,362,215.65,420
INV1891,118,299.42,15
INV1892,448,352.73,292
INV1893,224,166.42,202
INV1894,145,239.54,458
INV1895,423,335.3,466
INV1896,295,27.57,279
INV1897,395,491.13,190
INV1898,241,126.56,33
INV1899,107,354.8,1
INV1900,225,208.55,402
INV1901,128,155.55,117
INV1902,482,383.39,298
INV1903,425,310.61,204
INV1904,106,68.07,53
INV1905,223,306.91,303
INV1906,343,207.84,489
INV1907,479,492.12,267
INV1908,484,493.11,233
INV1909,415,181.12,384
INV1910,318,442.14,469
INV1911,187,94.39,427
INV1912,238,150.08,406
INV1913,250,239.55,48
INV1914,167,206.15,237
INV1915,111,102.11,72
INV1916,255,370.34,401
INV1917,408,328.08,230
INV1918,236,187.14,196
INV1919,232,128.16,238
INV1920,493,245.6,309
INV1921,413,12.11,316
INV1922,392,52.73,68
INV1923,358,426.88,271
INV1924,151,182.32,44
INV1925,456,391.97,305
INV1926,263,290.4,293
INV1927,167,322.88,107
INV1928,281,182.39,186
INV1929,365,325.54,490
INV1930,289,161.95,106
INV1931,486,280.37,266
INV1932,288,281.21,375
INV1933,173,248.69,158
INV1934,334,204.58,450
INV1935,321,90.64,487
INV1936,116,211.97,377
INV1937,476,191.63,422
INV1938,434,324.06,383
INV1939,228,142.39,45
INV1940,398,136.01,93
INV1941,175,494.74,3
INV1942,357,256.2,41
INV1943,282,153.14,466
INV1944,372,240.25,480
INV1945,288,167.64,202
INV1946,308,334.37,437
INV1947,420,277.43,193
INV1948,160,280,46
INV1949,224,490.3,487
INV1950,214,194.42,365
INV1951,400,392.01,256
INV1952,480,301.82,261
INV1953,266,433.43,360
INV1954,321,470.72,170
INV1955,447,325.88,449
INV1956,102,63.65,41
INV1957,154,303.74,388
INV1958,251,399.61,334
INV1959,322,341.96,432
INV1960,155,133.36,474
INV1961,149,199.47,171
INV1962,288,383.63,253
INV1963,439,179.14,401
INV1964,427,470.17,15
INV1965,438,153.89,215
INV1966,104,114.08,329
INV1967,386,190.92,82
INV1968,194,303.83,154
INV1969,305,396.4,167
INV1970,344,434.58,261
INV1971,247,380.96,127
INV1972,491,176.47,73
INV1973,106,392.63,365
INV1974,239,29.33,147
INV1975,473,412.76,461
INV1976,460,395.39,54
INV1977,455,186.69,411
INV1978,353,178.82,396
INV1979,444,275.59,132
INV1980,159,384.43,171
INV1981,183,477,240
INV1982,378,237.7,394
INV1983,454,212.55,202
INV1984,454,187.93,189
INV1985,355,222.32,209
INV1986,241,443.74,374
INV1987,250,149.05,487
INV1988,448,489.38,331
INV1989,169,310.56,33
INV1990,326,404.37,307
INV1991,459,230.53,265
INV1992,208,39.15,51
INV1993,151,417.55,127
INV1994,226,246.38,276
INV1995,470,26.95,449
INV1996,359,444.88,464
INV1997,126,43.58,488
INV1998,211,323.17,365
INV1999,122,212.7,150
